"","GID","GeneID"
"29078","29078","NDUFAF4"
"85015","85015","USP45"
"5354","5354","PLP1"
"6906","6906","SERPINA7"
"9643","9643","MORF4L2"
"158983","158983","H2BW1"
"51209","51209","RAB9B"
"203447","203447","NRK"
"139231","139231","FAM199X"
"80712","80712","ESX1"
"92552","92552","ATXN3L"
"9367","9367","RAB9A"
"79828","79828","METTL8"
"79809","79809","TTC21B"
"9111","9111","NMI"
"7130","7130","TNFAIP6"
"130399","130399","ACVR1C"
"29994","29994","BAZ2B"
"206358","206358","SLC36A1"
"9926","9926","LPGAT1"
"55509","55509","BATF3"
"50486","50486","G0S2"
"3759","3759","KCNJ2"
"57826","57826","RAP2C"
"5393","5393","EXOSC9"
"81579","81579","PLA2G12A"
"80776","80776","B9D2"
"79934","79934","COQ8B"
"5208","5208","PFKFB2"
"722","722","C4BPA"
"725","725","C4BPB"
"7696","7696","ZNF137P"
"23682","23682","RAB38"
"10888","10888","GPR83"
"27161","27161","AGO2"
"10608","10608","MXD4"
"5383","5383","PMS2P5"
"1164","1164","CKS2"
"164781","164781","DAW1"
"2181","2181","ACSL3"
"79586","79586","CHPF"
"23549","23549","DNPEP"
"3623","3623","INHA"
"116255","116255","MOGAT1"
"23363","23363","OBSL1"
"79843","79843","FAM124B"
"6560","6560","SLC12A4"
"84080","84080","ENKD1"
"4159","4159","MC3R"
"140687","140687","GCNT7"
"140690","140690","CTCFL"
"116151","116151","FAM210B"
"5266","5266","PI3"
"200232","200232","FAM209A"
"90203","90203","SNX21"
"6590","6590","SLPI"
"140686","140686","WFDC3"
"79183","79183","TTPAL"
"57580","57580","PREX1"
"3787","3787","KCNS1"
"57468","57468","SLC12A5"
"343578","343578","ARHGAP40"
"6385","6385","SDC4"
"8202","8202","NCOA3"
"51604","51604","PIGT"
"6407","6407","SEMG2"
"8785","8785","MATN4"
"57727","57727","NCOA5"
"9217","9217","VAPB"
"84612","84612","PARD6B"
"514","514","ATP5F1E"
"84181","84181","CHD6"
"5335","5335","PLCG1"
"84969","84969","TOX2"
"6431","6431","SRSF6"
"78997","78997","GDAP1L1"
"149699","149699","GTSF1L"
"10564","10564","ARFGEF2"
"57169","57169","ZNFX1"
"128611","128611","ZNF831"
"1908","1908","EDN3"
"1434","1434","CSE1L"
"57403","57403","RAB22A"
"5740","5740","PTGIS"
"6780","6780","STAU1"
"60437","60437","CDH26"
"6615","6615","SNAI1"
"27304","27304","MOCS3"
"8675","8675","STX16"
"55370","55370","PPP4R1L"
"56937","56937","PMEPA1"
"55905","55905","RNF114"
"55661","55661","DDX27"
"11317","11317","RBPJL"
"6406","6406","SEMG1"
"128602","128602","C20orf85"
"55653","55653","BCAS4"
"60598","60598","KCNK15"
"27296","27296","TP53TG5"
"5105","5105","PCK1"
"81030","81030","ZBP1"
"140825","140825","NEURL2"
"4109","4109","MAGEA10"
"4552","4552","MTRR"
"79072","79072","FASTKD3"
"5184","5184","PEPD"
"64377","64377","CHST8"
"23096","23096","IQSEC2"
"6845","6845","VAMP7"
"7499","7499","XG"
"10617","10617","STAMBP"
"55577","55577","NAGK"
"84693","84693","MCEE"
"400961","400961","PAIP2B"
"11017","11017","SNRNP27"
"10199","10199","MPHOSPH10"
"27189","27189","IL17C"
"10396","10396","ATP8A1"
"23326","23326","USP22"
"79983","79983","POF1B"
"64344","64344","HIF3A"
"79177","79177","ZNF576"
"56269","56269","IRGC"
"7596","7596","ZNF45"
"27076","27076","LYPD3"
"440533","440533","PSG8"
"1088","1088","CEACAM8"
"4693","4693","NDP"
"8239","8239","USP9X"
"7180","7180","CRISP2"
"2162","2162","F13A1"
"2914","2914","GRM4"
"55809","55809","TRERF1"
"29993","29993","PACSIN1"
"10385","10385","BTN2A2"
"23408","23408","SIRT5"
"57380","57380","MRS2"
"56897","56897","WRNIP1"
"88745","88745","RRP36"
"54718","54718","BTN2A3P"
"696","696","BTN1A1"
"6631","6631","SNRPC"
"10786","10786","SLC17A3"
"6568","6568","SLC17A1"
"5269","5269","SERPINB6"
"57510","57510","XPO5"
"89845","89845","ABCC10"
"3007","3007","H1-3"
"5190","5190","PEX6"
"4835","4835","NQO2"
"221443","221443","OARD1"
"222643","222643","UNC5CL"
"57505","57505","AARS2"
"3024","3024","H1-1"
"346157","346157","ZNF391"
"6204","6204","RPS10"
"4337","4337","MOCS1"
"8970","8970","H2BC11"
"9477","9477","MED20"
"26212","26212","OR2B6"
"6903","6903","TBCC"
"25803","25803","SPDEF"
"6954","6954","TCP11"
"9587","9587","MAD2L1BP"
"10930","10930","APOBEC2"
"116138","116138","KLHDC3"
"27232","27232","GNMT"
"1769","1769","DNAH8"
"54210","54210","TREM1"
"4201","4201","MEA1"
"401265","401265","KLHL31"
"81578","81578","COL21A1"
"1026","1026","CDKN1A"
"6659","6659","SOX4"
"2739","2739","GLO1"
"57699","57699","CPNE5"
"89822","89822","KCNK17"
"6239","6239","RREB1"
"6745","6745","SSR1"
"83732","83732","RIOK1"
"51299","51299","NRN1"
"51000","51000","SLC35B3"
"10799","10799","RPP40"
"6310","6310","ATXN1"
"9972","9972","NUP153"
"7913","7913","DEK"
"9521","9521","EEF1E1"
"860","860","RUNX2"
"221391","221391","OPN5"
"9247","9247","GCM2"
"9208","9208","LRRFIP1"
"64284","64284","RAB17"
"6372","6372","CXCL6"
"2069","2069","EREG"
"84767","84767","TRIM51"
"26070","26070","MYRF-AS1"
"745","745","MYRF"
"10647","10647","SCGB1D2"
"4246","4246","SCGB2A1"
"79026","79026","AHNAK"
"55831","55831","EMC3"
"51066","51066","SSUH2"
"7471","7471","WNT1"
"54436","54436","SH3TC1"
"23019","23019","CNOT1"
"583","583","BBS2"
"4495","4495","MT1G"
"4502","4502","MT2A"
"2806","2806","GOT2"
"55715","55715","DOK4"
"9271","9271","PIWIL1"
"2841","2841","GPR18"
"171425","171425","CLYBL"
"84899","84899","TMTC4"
"5911","5911","RAP2A"
"6555","6555","SLC10A2"
"10257","10257","ABCC4"
"1948","1948","EFNB2"
"11166","11166","SOX21"
"9375","9375","TM9SF2"
"78995","78995","HROB"
"3834","3834","KIF25"
"3659","3659","IRF1"
"65109","65109","UPF3B"
"7737","7737","RNF113A"
"23157","23157","SEPTIN6"
"55026","55026","TMEM255A"
"4694","4694","NDUFA1"
"265","265","AMELX"
"27109","27109","DMAC2L"
"652","652","BMP4"
"5732","5732","PTGER2"
"8603","8603","FAM193A"
"2868","2868","GRK4"
"6662","6662","SOX9"
"64518","64518","TEKT3"
"4620","4620","MYH2"
"9953","9953","HS3ST3B1"
"399512","399512","SLC25A35"
"51081","51081","MRPS7"
"23163","23163","GGA3"
"79637","79637","ARMC7"
"79902","79902","NUP85"
"60386","60386","SLC25A19"
"57409","57409","MIF4GD"
"30833","30833","NT5C"
"55154","55154","MSTO1"
"10485","10485","MIR9-1HG"
"7270","7270","TTF1"
"9329","9329","GTF3C4"
"64794","64794","DDX31"
"56751","56751","BARHL1"
"3802","3802","KIR2DL1"
"54776","54776","PPP1R12C"
"79143","79143","MBOAT7"
"6725","6725","SRMS"
"4987","4987","OPRL1"
"100144596","100144596","LINC00029"
"56731","56731","SLC2A4RG"
"2832","2832","NPBWR2"
"79025","79025","FNDC11"
"79144","79144","PPDPF"
"3553","3553","IL1B"
"5342","5342","PLGLB2"
"27178","27178","IL37"
"84269","84269","CHCHD5"
"7849","7849","PAX8"
"51141","51141","INSIG2"
"84172","84172","POLR1B"
"54520","54520","CCDC93"
"23550","23550","PSD4"
"79085","79085","SLC25A23"
"5623","5623","PSPN"
"2962","2962","GTF2F1"
"84266","84266","ALKBH7"
"8192","8192","CLPP"
"8744","8744","TNFSF9"
"2892","2892","GRIA3"
"57187","57187","THOC2"
"5469","5469","MED1"
"9349","9349","RPL23"
"84938","84938","ATG4C"
"970","970","CD70"
"718","718","C3"
"10045","10045","SH2D3A"
"9322","9322","TRIP10"
"56927","56927","GPR108"
"8740","8740","TNFSF14"
"2354","2354","FOSB"
"80207","80207","OPA3"
"6633","6633","SNRPD2"
"6253","6253","RTN2"
"24139","24139","EML2"
"7408","7408","VASP"
"8189","8189","SYMPK"
"56261","56261","GPCPD1"
"27111","27111","SDCBP2"
"80025","80025","PANK2"
"7053","7053","TGM3"
"2797","2797","GNRH2"
"81623","81623","DEFB126"
"3170","3170","FOXA2"
"284800","284800","FAM182A"
"22918","22918","CD93"
"64412","64412","GZF1"
"5075","5075","PAX1"
"63908","63908","NAPB"
"644524","644524","NKX2-4"
"1059","1059","CENPB"
"9491","9491","PSMF1"
"4821","4821","NKX2-2"
"92675","92675","DTD1"
"128817","128817","CSTL1"
"10616","10616","RBCK1"
"56255","56255","TMX4"
"140880","140880","CST11"
"140901","140901","STK35"
"6628","6628","SNRPB"
"80023","80023","NRSN2"
"55317","55317","AP5S1"
"6238","6238","RRBP1"
"650","650","BMP2"
"7692","7692","ZNF133"
"23767","23767","FLRT3"
"58495","58495","OVOL2"
"5126","5126","PCSK2"
"8195","8195","MKKS"
"631","631","BFSP1"
"11034","11034","DSTN"
"24141","24141","LAMP5"
"6629","6629","SNRPB2"
"92667","92667","MGME1"
"164312","164312","LRRN4"
"128637","128637","TBC1D20"
"3704","3704","ITPA"
"6939","6939","TCF15"
"56914","56914","OTOR"
"84515","84515","MCM8"
"140836","140836","BANF2"
"55321","55321","TMEM74B"
"83541","83541","FAM110A"
"128646","128646","SIRPD"
"64949","64949","MRPS26"
"8698","8698","S1PR4"
"56926","56926","NCLN"
"4435","4435","CITED1"
"10236","10236","HNRNPR"
"80818","80818","ZNF436"
"4149","4149","MAX"
"100529261","100529261","CHURC1-FNTB"
"64860","64860","ARMCX5"
"8200","8200","GDF5"
"10893","10893","MMP24"
"63941","63941","NECAB3"
"3397","3397","ID1"
"22913","22913","RALY"
"83658","83658","DYNLRB1"
"140873","140873","C20orf173"
"8894","8894","EIF2S2"
"51614","51614","ERGIC3"
"140823","140823","ROMO1"
"128876","128876","FAM83C"
"92747","92747","BPIFB1"
"11190","11190","CEP250"
"5326","5326","PLAGL2"
"101410538","101410538","MMP24OS"
"2925","2925","GRPR"
"8242","8242","KDM5C"
"154796","154796","AMOT"
"11070","11070","TMEM115"
"5690","5690","PSMB2"
"192669","192669","AGO3"
"7389","7389","UROD"
"6487","6487","ST3GAL3"
"79639","79639","TMEM53"
"79654","79654","HECTD3"
"3831","3831","KLC1"
"7517","7517","XRCC3"
"10426","10426","TUBGCP3"
"23263","23263","MCF2L"
"2159","2159","F10"
"55795","55795","PCID2"
"8858","8858","PROZ"
"57152","57152","SLURP1"
"79414","79414","LRFN3"
"79713","79713","IGFLR1"
"826","826","CAPNS1"
"84306","84306","PDCD2L"
"79171","79171","RBM42"
"84063","84063","KIRREL2"
"10054","10054","UBA2"
"2867","2867","FFAR2"
"10870","10870","HCST"
"2864","2864","FFAR1"
"1340","1340","COX6B1"
"8689","8689","KRT36"
"7067","7067","THRA"
"1236","1236","CCR7"
"9572","9572","NR1D1"
"83786","83786","FRMD8"
"25824","25824","PRDX5"
"83596","83596","BCL2L12"
"3661","3661","IRF3"
"3276","3276","PRMT1"
"6237","6237","RRAS"
"5639","5639","PRRG2"
"58506","58506","SCAF1"
"57479","57479","PRR12"
"60385","60385","TSKS"
"23769","23769","FLRT1"
"435","435","ASL"
"51119","51119","SBDS"
"1446","1446","CSN1S1"
"6779","6779","STATH"
"3346","3346","HTN1"
"6776","6776","STAT5A"
"65266","65266","WNK4"
"8678","8678","BECN1"
"5582","5582","PRKCG"
"10131","10131","TRAP1"
"84662","84662","GLIS2"
"84081","84081","NSRP1"
"22826","22826","DNAJC8"
"27245","27245","AHDC1"
"2537","2537","IFI6"
"117154","117154","DACH2"
"171017","171017","ZNF384"
"10436","10436","EMG1"
"6756","6756","SSX1"
"8409","8409","UXT"
"5199","5199","CFP"
"2002","2002","ELK1"
"10245","10245","TIMM17B"
"64430","64430","PCNX4"
"22863","22863","ATG14"
"3895","3895","KTN1"
"6495","6495","SIX1"
"57381","57381","RHOJ"
"9787","9787","DLGAP5"
"112849","112849","L3HYPDH"
"3306","3306","HSPA2"
"22890","22890","ZBTB1"
"57570","57570","TRMT5"
"81537","81537","SGPP1"
"26030","26030","PLEKHG3"
"5858","5858","PZP"
"11105","11105","PRDM7"
"55288","55288","RHOT1"
"2123","2123","EVI2A"
"4974","4974","OMG"
"55112","55112","DYNC2I1"
"83543","83543","AIF1L"
"286336","286336","FAM78A"
"8021","8021","NUP214"
"30848","30848","CTAG2"
"554","554","AVPR2"
"8273","8273","SLC10A3"
"5605","5605","MAP2K2"
"3188","3188","HNRNPH2"
"51309","51309","ARMCX1"
"59353","59353","TMEM35A"
"55998","55998","NXF5"
"1678","1678","TIMM8A"
"55906","55906","ZC4H2"
"821","821","CANX"
"54973","54973","INTS11"
"6003","6003","RGS13"
"64768","64768","IPPK"
"83744","83744","ZNF484"
"4958","4958","OMD"
"89846","89846","FGD3"
"59269","59269","HIVEP3"
"79717","79717","PPCS"
"1907","1907","EDN2"
"64919","64919","BCL11B"
"1350","1350","COX7C"
"7186","7186","TRAF2"
"79575","79575","ABHD8"
"5648","5648","MASP1"
"84239","84239","ATP13A4"
"57110","57110","PLAAT1"
"92797","92797","HELB"
"5908","5908","RAP1B"
"50616","50616","IL22"
"7103","7103","TSPAN8"
"144453","144453","BEST3"
"117177","117177","RAB3IP"
"5787","5787","PTPRB"
"8445","8445","DYRK2"
"8089","8089","YEATS4"
"50831","50831","TAS2R3"
"50832","50832","TAS2R4"
"54429","54429","TAS2R5"
"155051","155051","CRYGN"
"65999","65999","LRRC61"
"56302","56302","TRPV5"
"3425","3425","IDUA"
"53834","53834","FGFRL1"
"84286","84286","TMEM175"
"79000","79000","AUNIP"
"5300","5300","PIN1"
"54850","54850","FBXL12"
"23065","23065","EMC1"
"5322","5322","PLA2G5"
"23352","23352","UBR4"
"50809","50809","HP1BP3"
"30817","30817","ADGRE2"
"23309","23309","SIN3B"
"79939","79939","SLC35E1"
"58513","58513","EPS15L1"
"10365","10365","KLF2"
"26664","26664","OR7C1"
"9002","9002","F2RL3"
"10975","10975","UQCR11"
"2671","2671","GFER"
"9143","9143","SYNGR3"
"9088","9088","PKMYT1"
"117166","117166","WFIKKN1"
"84219","84219","WDR24"
"146330","146330","FBXL16"
"63922","63922","CHTF18"
"51764","51764","GNG13"
"23499","23499","MACF1"
"6597","6597","SMARCA4"
"23030","23030","KDM4B"
"148022","148022","TICAM1"
"84190","84190","METTL25"
"27190","27190","IL17B"
"83460","83460","EMC6"
"8388","8388","OR1E2"
"79066","79066","METTL16"
"7277","7277","TUBA4A"
"7429","7429","VIL1"
"14","14","AAMP"
"25953","25953","PNKD"
"55504","55504","TNFRSF19"
"6049","6049","RNF6"
"1892","1892","ECHS1"
"90485","90485","ZNF835"
"10142","10142","AKAP9"
"2791","2791","GNG11"
"7979","7979","SEM1"
"2792","2792","GNGT1"
"3092","3092","HIP1"
"5782","5782","PTPN12"
"5447","5447","POR"
"10875","10875","FGL2"
"51657","51657","STYXL1"
"79689","79689","STEAP4"
"2770","2770","GNAI1"
"5387","5387","PMS2P3"
"5189","5189","PEX1"
"7978","7978","MTERF1"
"8910","8910","SGCE"
"84060","84060","RBM48"
"64921","64921","CASD1"
"163131","163131","ZNF780B"
"57622","57622","LRFN1"
"7538","7538","ZFP36"
"79644","79644","SRD5A3"
"6691","6691","SPINK2"
"65997","65997","RASL11B"
"10606","10606","PAICS"
"3791","3791","KDR"
"5471","5471","PPAT"
"85378","85378","TUBGCP6"
"79924","79924","ADM2"
"85359","85359","DGCR6L"
"54487","54487","DGCR8"
"57168","57168","ASPHD2"
"29802","29802","VPREB3"
"23753","23753","SDF2L1"
"9514","9514","GAL3ST1"
"7533","7533","YWHAH"
"5988","5988","RFPL1"
"10739","10739","RFPL2"
"29774","29774","POM121L9P"
"2781","2781","GNAZ"
"4248","4248","MGAT3"
"135","135","ADORA2A"
"468","468","ATF4"
"53947","53947","A4GALT"
"10738","10738","RFPL3"
"11135","11135","CDC42EP1"
"80833","80833","APOL3"
"2847","2847","MCHR1"
"8459","8459","TPST2"
"80115","80115","BAIAP2L2"
"4357","4357","MPST"
"8484","8484","GALR3"
"7263","7263","TST"
"80831","80831","APOL5"
"3543","3543","IGLL1"
"23780","23780","APOL2"
"5880","5880","RAC2"
"3976","3976","LIF"
"84645","84645","C22orf23"
"200315","200315","APOBEC3A"
"200316","200316","APOBEC3F"
"26150","26150","RIBC2"
"3872","3872","KRT17"
"51234","51234","EMC4"
"7732","7732","RNF112"
"92521","92521","SPECC1"
"51200","51200","CPA4"
"9732","9732","DOCK4"
"25913","25913","POT1"
"9296","9296","ATP6V1F"
"51691","51691","LSM8"
"222256","222256","CDHR3"
"79706","79706","PRKRIP1"
"7425","7425","VGF"
"5420","5420","PODXL"
"93986","93986","FOXP2"
"57464","57464","STRIP2"
"64792","64792","IFT22"
"4289","4289","MKLN1"
"4189","4189","DNAJB9"
"2318","2318","FLNC"
"64101","64101","LRRC4"
"813","813","CALU"
"64753","64753","CCDC136"
"6608","6608","SMO"
"3663","3663","IRF5"
"10234","10234","LRRC17"
"23008","23008","KLHDC10"
"4698","4698","NDUFA5"
"389549","389549","FEZF1"
"611","611","OPN1SW"
"6183","6183","MRPS12"
"4430","4430","MYO1B"
"3231","3231","HOXD1"
"3232","3232","HOXD3"
"10651","10651","MTX2"
"50940","50940","PDE11A"
"1123","1123","CHN1"
"2571","2571","GAD1"
"64172","64172","OSGEPL1"
"94101","94101","ORMDL1"
"8520","8520","HAT1"
"3235","3235","HOXD9"
"3236","3236","HOXD10"
"3237","3237","HOXD11"
"3239","3239","HOXD13"
"8924","8924","HERC2"
"6638","6638","SNRPN"
"56984","56984","PSMG2"
"57045","57045","TWSG1"
"58504","58504","ARHGAP22"
"57705","57705","WDFY4"
"440275","440275","EIF2AK4"
"55930","55930","MYO5C"
"84952","84952","CGNL1"
"29767","29767","TMOD2"
"146057","146057","TTBK2"
"80237","80237","ELL3"
"90416","90416","CCDC32"
"54617","54617","INO80"
"79664","79664","ICE2"
"54567","54567","DLL4"
"8854","8854","ALDH1A2"
"54629","54629","MINDY2"
"3712","3712","IVD"
"90417","90417","KNSTRN"
"1854","1854","DUT"
"79094","79094","CHAC1"
"54982","54982","CLN6"
"10776","10776","ARPP19"
"54832","54832","VPS13C"
"91860","91860","CALML4"
"3671","3671","ISLR"
"56906","56906","THAP10"
"4016","4016","LOXL1"
"51554","51554","ACKR4"
"25847","25847","ANAPC13"
"8930","8930","MBD4"
"1315","1315","COPB1"
"5682","5682","PSMA1"
"25870","25870","SUMF2"
"23022","23022","PALLD"
"60559","60559","SPCS3"
"8424","8424","BBOX1"
"4654","4654","MYOD1"
"26297","26297","SERGEF"
"3746","3746","KCNC1"
"7166","7166","TPH1"
"8048","8048","CSRP3"
"79733","79733","E2F8"
"1635","1635","DCTD"
"6665","6665","SOX15"
"54478","54478","PIMREG"
"84268","84268","RPAIN"
"9098","9098","USP6"
"6462","6462","SHBG"
"5338","5338","PLD2"
"23746","23746","AIPL1"
"968","968","CD68"
"84817","84817","TXNDC17"
"482","482","ATP1B2"
"9513","9513","FXR2"
"10749","10749","KIF1C"
"9526","9526","MPDU1"
"51105","51105","PHF20L1"
"904","904","CCNT1"
"83448","83448","PUS7L"
"65095","65095","KRI1"
"3609","3609","ILF3"
"57153","57153","SLC44A2"
"10053","10053","AP1M2"
"1032","1032","CDKN2D"
"57509","57509","MTUS1"
"43847","43847","KLK14"
"27180","27180","SIGLEC9"
"5655","5655","KLK10"
"11202","11202","KLK8"
"25983","25983","NGDN"
"11035","11035","RIPK3"
"196883","196883","ADCY4"
"84932","84932","RAB2B"
"599","599","BCL2L2"
"84962","84962","AJUBA"
"112487","112487","DTD2"
"10038","10038","PARP2"
"25938","25938","HEATR5A"
"3169","3169","FOXA1"
"58533","58533","SNX6"
"55837","55837","EAPP"
"112399","112399","EGLN3"
"55320","55320","MIS18BP1"
"4901","4901","NRL"
"6035","6035","RNASE1"
"4738","4738","NEDD8"
"1603","1603","DAD1"
"7011","7011","TEP1"
"64097","64097","EPB41L4A"
"1036","1036","CDO1"
"7905","7905","REEP5"
"81533","81533","ITFG1"
"84074","84074","QRICH2"
"2302","2302","FOXJ1"
"6397","6397","SEC14L1"
"79651","79651","RHBDF2"
"15","15","AANAT"
"9459","9459","ARHGEF6"
"79649","79649","MAP7D3"
"2258","2258","FGF13"
"9070","9070","ASH2L"
"80185","80185","TTI2"
"417","417","ART1"
"57053","57053","CHRNA10"
"1028","1028","CDKN1C"
"151648","151648","SGO1"
"6192","6192","RPS4Y1"
"1013","1013","CDH15"
"83855","83855","KLF16"
"58986","58986","PGAP6"
"83475","83475","DOHH"
"23383","23383","MAU2"
"25759","25759","SHC2"
"79948","79948","PLPPR3"
"81926","81926","ABHD17A"
"3929","3929","LBP"
"6861","6861","SYT5"
"7137","7137","TNNI3"
"863","863","CBFA2T3"
"2593","2593","GAMT"
"8226","8226","PUDP"
"55780","55780","ERMARD"
"55274","55274","PHF10"
"79057","79057","PRRG3"
"26290","26290","GALNT8"
"3741","3741","KCNA5"
"84766","84766","CRACR2A"
"158046","158046","NXNL2"
"9754","9754","STARD8"
"54857","54857","GDPD2"
"6303","6303","SAT1"
"54552","54552","GNL3L"
"23677","23677","SH3BP4"
"158747","158747","MOSPD2"
"57572","57572","DOCK6"
"51295","51295","ECSIT"
"3949","3949","LDLR"
"84337","84337","ELOF1"
"26526","26526","TSPAN16"
"55908","55908","ANGPTL8"
"5589","5589","PRKCSH"
"1264","1264","CNN1"
"8881","8881","CDC16"
"84891","84891","ZSCAN10"
"51337","51337","THEM6"
"5819","5819","NECTIN2"
"348","348","APOE"
"10452","10452","TOMM40"
"341","341","APOC1"
"10912","10912","GADD45G"
"57631","57631","LRCH2"
"1804","1804","DPP6"
"23039","23039","XPO7"
"59272","59272","ACE2"
"147965","147965","FAM98C"
"9667","9667","SAFB2"
"25873","25873","RPL36"
"148229","148229","ATP8B3"
"2657","2657","GDF1"
"1463","1463","NCAN"
"547","547","KIF1A"
"84705","84705","GTPBP3"
"83483","83483","PLVAP"
"684","684","BST2"
"376497","376497","SLC27A1"
"55695","55695","NSUN5"
"83878","83878","USHBP1"
"79709","79709","COLGALT1"
"79016","79016","DDA1"
"64981","64981","MRPL34"
"25796","25796","PGLS"
"51690","51690","LSM7"
"56995","56995","TULP4"
"51429","51429","SNX9"
"84816","84816","RTN4IP1"
"55278","55278","QRSL1"
"51250","51250","MTRES1"
"83861","83861","RSPH3"
"4142","4142","MAS1"
"81616","81616","ACSBG2"
"4298","4298","MLLT1"
"2527","2527","FUT5"
"9210","9210","BMP15"
"4301","4301","AFDN"
"81","81","ACTN4"
"65975","65975","STK33"
"4705","4705","NDUFA10"
"2056","2056","EPO"
"10095","10095","ARPC1B"
"59285","59285","CACNG6"
"57688","57688","ZSWIM6"
"23149","23149","FCHO1"
"23025","23025","UNC13A"
"55201","55201","MAP1S"
"113730","113730","KLHDC7B"
"7837","7837","PXDN"
"170463","170463","SSBP4"
"9518","9518","GDF15"
"54858","54858","PGPEP1"
"80726","80726","IQCN"
"25804","25804","LSM4"
"3727","3727","JUND"
"3270","3270","HRC"
"54795","54795","TRPM4"
"25830","25830","SULT4A1"
"79230","79230","ZNF557"
"92359","92359","CRB3"
"10439","10439","OLFM1"
"157922","157922","CAMSAP1"
"10422","10422","UBAC1"
"6295","6295","SAG"
"140685","140685","ZBTB46"
"85441","85441","HELZ2"
"140700","140700","SAMD10"
"4046","4046","LSP1"
"7140","7140","TNNT3"
"7136","7136","TNNI2"
"283120","283120","H19"
"22952","22952","CYP2G1P"
"1289","1289","COL5A1"
"25814","25814","ATXN10"
"10844","10844","TUBGCP2"
"50632","50632","CALY"
"1571","1571","CYP2E1"
"375775","375775","PNPLA7"
"3050","3050","HBZ"
"10298","10298","PAK4"
"3110","3110","MNX1"
"26152","26152","ZNF337"
"64793","64793","CEP85"
"6874","6874","TAF4"
"140628","140628","GATA5"
"140893","140893","RBBP8NL"
"3911","3911","LAMA5"
"9885","9885","OSBPL2"
"11047","11047","ADRM1"
"445","445","ASS1"
"59335","59335","PRDM12"
"23404","23404","EXOSC2"
"10585","10585","POMT1"
"83549","83549","UCK1"
"84929","84929","FIBCD1"
"84726","84726","PRRC2B"
"27243","27243","CHMP2A"
"9040","9040","UBE2M"
"10155","10155","TRIM28"
"84326","84326","METTL26"
"78992","78992","YIPF2"
"84971","84971","ATG4D"
"1968","1968","EIF2S3"
"54958","54958","TMEM160"
"23211","23211","ZC3H4"
"4861","4861","NPAS1"
"9535","9535","GMFG"
"4294","4294","MAP3K10"
"27237","27237","ARHGEF16"
"57470","57470","LRRC47"
"83667","83667","SESN2"
"27293","27293","SMPDL3B"
"93974","93974","ATP5IF1"
"54797","54797","MED18"
"9473","9473","THEMIS2"
"6249","6249","CLIP1"
"84660","84660","CCDC62"
"9026","9026","HIP1R"
"57693","57693","ZNF317"
"56342","56342","PPAN"
"8666","8666","EIF3G"
"83854","83854","ANGPTL6"
"55337","55337","SHFL"
"1786","1786","DNMT1"
"79088","79088","ZNF426"
"6535","6535","SLC6A8"
"139728","139728","PNCK"
"1736","1736","DKC1"
"55558","55558","PLXNA3"
"1852","1852","DUSP9"
"4354","4354","MPP1"
"55422","55422","ZNF331"
"7776","7776","ZNF236"
"56301","56301","SLC7A10"
"4037","4037","LRP3"
"25926","25926","NOL11"
"10277","10277","UBE4B"
"54897","54897","CASZ1"
"10343","10343","PKDREJ"
"3293","3293","HSD17B3"
"54754","54754","NUTM2F"
"22927","22927","HABP4"
"8789","8789","FBP2"
"11046","11046","SLC35D2"
"5638","5638","PRRG1"
"7317","7317","UBA1"
"9104","9104","RGN"
"353497","353497","POLN"
"246126","246126","TXLNGY"
"85313","85313","PPIL4"
"80328","80328","ULBP2"
"9590","9590","AKAP12"
"23345","23345","SYNE1"
"79465","79465","ULBP3"
"9113","9113","LATS1"
"54869","54869","EPS8L1"
"10288","10288","LILRB2"
"25980","25980","AAR2"
"164395","164395","TTLL9"
"140683","140683","BPIFA2"
"9584","9584","RBM39"
"84701","84701","COX4I2"
"84905","84905","ZNF341"
"2686","2686","GGT7"
"55902","55902","ACSS2"
"60401","60401","EDA2R"
"23229","23229","ARHGEF9"
"10882","10882","C1QL1"
"2670","2670","GFAP"
"5697","5697","PYY"
"51751","51751","HIGD1B"
"529","529","ATP6V1E1"
"7770","7770","ZNF227"
"126299","126299","ZNF428"
"83639","83639","TEX101"
"7700","7700","ZNF141"
"6370","6370","CCL25"
"1327","1327","COX4I1"
"10328","10328","EMC8"
"23199","23199","GSE1"
"51659","51659","GINS2"
"5119","5119","CHMP1A"
"6451","6451","SH3BGRL"
"1349","1349","COX7B"
"6569","6569","SLC34A1"
"2161","2161","F12"
"80758","80758","PRR7"
"4772","4772","NFATC1"
"3620","3620","IDO1"
"10487","10487","CAP1"
"5538","5538","PPT1"
"84440","84440","RAB11FIP4"
"51132","51132","RLIM"
"1046","1046","CDX4"
"22","22","ABCB7"
"7187","7187","TRAF3"
"93323","93323","HAUS8"
"84658","84658","ADGRE3"
"64432","64432","MRPS25"
"9467","9467","SH3BP5"
"26061","26061","HACL1"
"9779","9779","TBC1D5"
"23473","23473","CAPN7"
"23180","23180","RFTN1"
"84077","84077","C3orf20"
"64145","64145","RBSN"
"117248","117248","GALNT15"
"6533","6533","SLC6A6"
"3748","3748","KCNC3"
"9476","9476","NAPSA"
"256236","256236","NAPSB"
"7376","7376","NR1H2"
"94030","94030","LRRC4B"
"8572","8572","PDLIM4"
"11127","11127","KIF3A"
"4245","4245","MGAT1"
"9945","9945","GFPT2"
"7283","7283","TUBG1"
"10197","10197","PSME3"
"6155","6155","RPL27"
"29893","29893","PSMC3IP"
